,MR3,MR1,MR2,MR4,MR5
Q1,0.42,0.24,0.04,-0.13,0.05
Q2,0.03,0.69,0.03,-0.02,-0.04
Q5,0.63,0.03,-0.05,-0.01,0.05
Q7,0.16,0.56,-0.02,0.02,0.06
Q10,-0.65,0.08,-0.03,0.01,0.07
Q11,0.16,0.23,0.13,0.23,0.11
Q12,0.11,0.4,0.07,0.15,0.04
Q13,-0.04,0.04,0,0.59,-0.06
Q16,0.01,0.08,0.14,0.19,0.13
Q17,0.61,0,0.03,0.15,0.03
Q18,0.09,-0.07,0.06,0,0.51
Q19,0.02,0.01,0.53,-0.11,0.14
Q20,-0.62,-0.09,-0.01,0.03,0.11
Q21,0,0,0.9,-0.01,-0.03
Q22,0.05,0.47,0.06,0.06,0.04
Q23,-0.06,0.8,-0.01,0,0.01
Q24,0.08,0.01,0.01,0.51,0.08
Q25,-0.01,0,0.83,0.04,0
Q26,0.66,-0.04,0,-0.01,0.09
Q27,-0.06,0.38,0.02,0.21,0.17
Q28,0.43,0.19,-0.03,0,0.09
Q30,-0.06,0.09,0.01,0,0.55
