,MR3,MR1,MR2,MR4,MR5
Q1,0.43,0.24,0.04,-0.13,0.05
Q2,0.02,0.68,0.03,-0.01,-0.04
Q5,0.63,0.02,-0.05,-0.01,0.06
Q7,0.16,0.54,-0.01,0.03,0.09
Q9,0.5,0.36,0.01,0.04,-0.19
Q10,-0.66,0.11,-0.03,0.01,0.06
Q11,0.16,0.21,0.13,0.24,0.15
Q12,0.11,0.39,0.08,0.16,0.06
Q13,-0.05,0.02,0,0.61,-0.07
Q16,0.02,0.08,0.14,0.19,0.15
Q17,0.61,-0.03,0.02,0.15,0.07
Q18,0.13,-0.02,0.07,0,0.46
Q19,0.02,0.02,0.53,-0.11,0.14
Q20,-0.61,-0.06,-0.01,0.03,0.08
Q21,0,0,0.91,-0.01,-0.03
Q22,0.05,0.47,0.07,0.07,0.05
Q23,-0.06,0.79,0,0.02,0.03
Q24,0.08,0.01,0.01,0.51,0.08
Q25,-0.01,0,0.83,0.04,0
Q26,0.68,-0.05,0.01,-0.01,0.09
Q27,-0.05,0.39,0.03,0.21,0.18
Q28,0.44,0.18,-0.03,0,0.1
Q30,-0.02,0.15,0.02,0,0.51
